NMKEC,KEC,NKS_ALL,NBS
GEDANG SARI,120,1598,015B
GIRISUBO,51,677,008B
KARANGMOJO,80,1125,011B
PLAYEN,100,1310,014B
PLAYEN,100,1316,001B
PONJONG,70,929,008B
PONJONG,70,940,007B
PURWOSARI,11,107,015B
RONGKOP,50,525,007B
RONGKOP,50,547,003B
SAPTO SARI,30,260,008B
SEMANU,60,734,049B
SEMANU,60,740,005B
SEMANU,60,796,018B
SEMANU,60,50007,009B
SEMANU,60,50027,030B
SEMIN,150,1921,003B
SEMIN,150,2014,004B
SEMIN,150,2059,008B
TANJUNGSARI,41,483,001B
