NMKEC,KEC,NKS_ALL,NBS
GEDANG SARI,120,101598,015B
GIRISUBO,51,300677,008B
KARANGMOJO,80,401125,011B
PLAYEN,100,301310,014B
PLAYEN,100,301316,001B
PONJONG,70,100929,008B
PONJONG,70,500940,007B
PURWOSARI,11,200107,015B
RONGKOP,50,300525,007B
RONGKOP,50,200547,003B
SAPTO SARI,30,300260,008B
SEMANU,60,400734,049B
SEMANU,60,200740,005B
SEMANU,60,200796,018B
SEMANU,60,250007,009B
SEMANU,60,450027,030B
SEMIN,150,101921,003B
SEMIN,150,102014,004B
SEMIN,150,402059,008B
TANJUNGSARI,41,500483,001B
